Entidad,CaptacionTotal,DepositoExigInmediata,DepositoPlazoPG,DepositoPlazoMV,TitulosCredito,PrestamosInterBanc,CuentaGlobalCapt,Fecha
Ve por Más,64082.313942,40551.444514,20013.306241,321.540259,0.0,3181.876793,14.146135,2025-06-01
Intercam Banco,37600.034494,23370.545687,13406.540919,0.0,0.0,751.378182,71.569706,2025-06-01
Bansí,48230.18864,17924.387326,30084.645981,0.0,0.0,220.851495,0.303838,2025-06-01
Actinver,41990.91346,14656.964043,9637.239806,5717.87372,11771.934433,172.139853,34.761605,2025-06-01
Compartamos,41335.591427,3429.884792,2257.743477,0.0,13336.361888,22184.84461,126.75666,2025-06-01
BIAfirme,21.14654,21.14654,0.0,0.0,0.0,0.0,0.0,2025-06-01
Bancrea,46747.57823752,6215.477345220001,32795.37861417,0.0,0.0,7736.72227813,0.0,2025-06-01
MUFG Bank,27468.871199,16800.6329,10668.238299,0.0,0.0,0.0,0.0,2025-06-01
Consubanco,20429.695396000003,456.041598,13621.985706,2881.517552,3069.531388,400.210673,0.408479,2025-06-01
BNP Paribas México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06-01
Autofin,18552.355011580003,6852.9187216499995,11691.98152517,0.0,0.0,0.0,7.45476476,2025-06-01
Bankaool,15613.623287999999,7186.991045,8400.766986,0.0,0.0,25.865257,0.0,2025-06-01
Inmobiliario Mexicano,13561.265478610001,481.66872304000003,11585.08520186,0.0,0.0,1494.09598557,0.41556814000000003,2025-06-01
Mizuho Bank,8802.1621891,1896.51630824,5239.0338511,963.07890889,0.0,703.53312087,0.0,2025-06-01
ICBC,8127.865041,5442.859724,1350.861476,0.0,0.0,1334.143841,0.0,2025-06-01
Banco Covalto,8034.96342944,1611.10915268,3930.98509616,20.18666603,0.0,2472.68251457,0.0,2025-06-01
Bank of China,6041.89264682,619.09342736,0.0,0.0,0.0,5422.79921946,0.0,2025-06-01
Volkswagen Bank,3666.682276,1.080836,0.0,0.0,0.0,3665.290346,0.311094,2025-06-01
Banco S3,3538.125652,3538.125652,0.0,0.0,0.0,0.0,0.0,2025-06-01
Banco Ualá,5470.638514,3321.839705,2147.331245,0.0,0.0,0.0,1.467564,2025-06-01
Shinhan,4386.969325,1239.469113,283.370304,0.0,0.0,2863.822088,0.30782,2025-06-01
Openbank,1459.422437,1459.422437,0.0,0.0,0.0,0.0,0.0,2025-06-01
KEB Hana México,3895.052313,0.102504,167.000461,0.0,0.0,3727.949348,0.0,2025-06-01
Banco Bineo,34.293534539999996,34.293534539999996,0.0,0.0,0.0,0.0,0.0,2025-06-01
Dondé Banco,1841.760146,404.334418,1072.50136,364.249652,0.0,0.0,0.674716,2025-06-01
Credit Suisse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06-01
Hey Banco,0.025,0.025,0.0,0.0,0.0,0.0,0.0,2025-06-01
Forjadores,234.20879300000001,0.0,234.20879300000001,0.0,0.0,0.0,0.0,2025-06-01
Pagatodo,21.57985,21.538561,0.0,0.0,0.0,0.0,0.041289,2025-06-01
Sistema,9112459.095261691,5820818.95082152,2063486.89891774,398501.02522556,367587.38123334,432777.3109652701,29287.528098259994,2025-06-01
