Entidad,ActivoTotal,Inversiones,CarteraTotal,CaptacionTotal,CapitalContable,ResultadoNeto,Fecha
HSBC,930938.044177,213179.617424,497726.331881,567634.805179,85841.897238,4210.420592,2025-06-01
Scotiabank,873397.965775,163538.320619,521395.832164,574302.990355,90784.526544,4949.240947,2025-06-01
Inbursa,701151.905788,77138.30724,462573.500756,460048.99091600004,198560.627724,11562.677444,2025-06-01
Citi México,567213.8759879301,202299.19369372,182823.18013371,337251.71291372,74437.05892016001,5761.7683949600005,2025-06-01
Banco del Bajío,372552.27882459003,28005.05932615,265190.04591903,308786.2548247,44836.97025906,4656.664923060001,2025-06-01
Banco Azteca,348431.86061706,102744.80706433,193792.00030938,241453.28475256,44174.22076491,3047.3959771100003,2025-06-01
Monex,309952.87895453005,137292.39179484,55217.34215848,81473.77911866,15764.08010955,1713.1150207599999,2025-06-01
Afirme,307728.444283,173690.308602,68546.656802,88530.45374499999,9063.978953,458.351732,2025-06-01
Banregio,264088.63223155,49181.408971699995,184117.85244579002,184104.5040568,32275.7427205,3220.36841976,2025-06-01
J.P. Morgan,211920.524377,45084.693087,24623.542128,70073.640999,36007.125195,2137.989778,2025-06-01
Invex,201814.79104,136907.365594,47571.073654,52840.560455,10514.689109,795.731552,2025-06-01
BanCoppel,175277.09250285002,74983.76307686999,70278.65249102001,147355.05496643,22860.71593832,2205.5457156999996,2025-06-01
Multiva,161008.866331,53793.037382,76473.215011,100582.070064,10105.170203,624.568744,2025-06-01
Banca Mifel,160281.481781,49801.70126,82455.168464,99379.524903,15144.536986,1604.599452,2025-06-01
Banco Base,159647.276623,124361.196977,11001.653414,34878.783480000006,7273.525496,816.301221,2025-06-01
Sabadell,139915.44674,19635.483646,97906.151777,120020.108369,17491.231917,692.644481,2025-06-01
Barclays,138427.267786,20919.57519,0.0,40.008889,9000.630997,469.125814,2025-06-01
CIBanco,124269.020931,67652.425515,17706.214758,38269.717359,6014.949249,262.210642,2025-06-01
Bank of America,118230.495709,27551.745049,40215.167926,57497.147774,22916.362785,995.95956,2025-06-01
Ve por Más,105599.256263,37429.603264,59053.049649,64082.313942,10174.978454,747.686221,2025-06-01
Intercam Banco,94482.648475,46904.734577,25340.782324,37600.034494,11741.770853,1357.544141,2025-06-01
Bansí,76706.252826,29602.336879,27225.96713,48230.18864,7673.722129,618.171804,2025-06-01
Actinver,73511.893923,14305.704018,27833.813442,41990.91346,6862.507466,318.175844,2025-06-01
Compartamos,64838.402008,0.0,54933.984318,41335.591427,17627.264722,2889.836821,2025-06-01
BIAfirme,64077.088756,62339.341025,245.007954,21.14654,1167.864913,63.146282,2025-06-01
Bancrea,53601.57375971,1827.5107094,42730.04988964,46747.57823752,4751.25558608,490.38339018,2025-06-01
MUFG Bank,39946.281562,8431.682243,7306.878864,27468.871199,9443.107171,702.628539,2025-06-01
Consubanco,36357.867886,1874.978211,30230.936207,20429.695396000003,4727.469711,460.789043,2025-06-01
BNP Paribas México,21672.722119,3984.893134,0.0,0.0,5492.285015,140.209523,2025-06-01
Autofin,20881.111947549998,5143.32535092,9289.43915357,18552.355011580003,1775.3834625999998,146.14830403,2025-06-01
Bankaool,18572.641455,0.0,11775.755783,15613.623287999999,2029.198109,77.828465,2025-06-01
Inmobiliario Mexicano,16302.71672054,210.39090665999998,12503.22158087,13561.265478610001,1867.77760984,79.70942901000001,2025-06-01
Mizuho Bank,13480.77754913,0.0,5806.02114491,8802.1621891,4496.83720173,217.85297569,2025-06-01
ICBC,10439.549675,147.810435,4250.585128,8127.865041,1339.615124,136.261129,2025-06-01
Banco Covalto,9564.30291146,92.91227879,6910.28112976,8034.96342944,1224.3404632699999,84.53522631999999,2025-06-01
Bank of China,8362.603640399999,0.0,3588.8459363800002,6041.89264682,2265.6477505300004,88.59694537,2025-06-01
Volkswagen Bank,7836.297523,0.0,7208.516803,3666.682276,3608.69772,220.995469,2025-06-01
Banco S3,7052.646096,465.073793,187.935144,3538.125652,2515.267619,151.296224,2025-06-01
Banco Ualá,6712.541884,3824.598289,727.327264,5470.638514,989.955926,-602.972862,2025-06-01
Shinhan,6362.364433,1715.892324,3931.25956,4386.969325,1890.390614,59.707669,2025-06-01
Openbank,6110.427688,2904.490312,86.174941,1459.422437,3946.202424,-485.444223,2025-06-01
KEB Hana México,5728.304106,1838.134765,3824.653986,3895.052313,1749.253743,23.226653,2025-06-01
Banco Bineo,3262.74202329,0.0,18.53772222,34.293534539999996,3149.23261571,-513.3169205,2025-06-01
Dondé Banco,2416.812928,205.324042,1618.361205,1841.760146,496.408343,-59.59938,2025-06-01
Credit Suisse,2245.939241,1952.398472,0.0,0.0,2160.763546,-58.521191,2025-06-01
Hey Banco,1574.06159912,0.0,0.0,0.025,1562.1966641400002,41.554930119999995,2025-06-01
Forjadores,899.275724,0.0,364.493058,234.20879300000001,616.937737,-17.195949,2025-06-01
Pagatodo,342.519261,0.0,0.0,21.57985,302.345147,-41.171634,2025-06-01
Sistema,15296250.41703654,4019339.27879843,7797749.944783741,9112459.095261691,1751973.6870041902,152476.17604797997,2025-06-01
